楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
Sweet Requiem,EXHAUST,16,COMPLETE,AAA,9701986,0,4,4,0,0
ぱあ,MAXIMUM,16,COMPLETE,AA+,9525706,0,2,2,0,0
Regretful Flower,EXHAUST,14,COMPLETE,A+,9272853,0,1,1,0,0
Regretful Flower,MAXIMUM,16,COMPLETE,AAA,9790339,0,5,5,0,0
Vigor,EXHAUST,14,COMPLETE,A+,9080130,0,1,1,0,0
Vigor,MAXIMUM,17.5,COMPLETE,AA,9432352,0,5,5,0,0
The Golden Era,NOVICE,6,COMPLETE,AA+,9507389,0,1,1,0,0
405nm(Shu※mix),EXHAUST,14,COMPLETE,AA,9309637,0,1,1,0,0
405nm(Shu※mix),MAXIMUM,17.5,COMPLETE,AA,9414043,0,3,3,0,0
Mind Mapping(ag Remix),ADVANCED,9,COMPLETE,AA,9300441,0,1,1,0,0
Mind Mapping(ag Remix),EXHAUST,13,COMPLETE,AA+,9644886,0,1,1,0,0
Technical Master,EXHAUST,14,COMPLETE,AAA,9728107,0,12,8,0,0
Technical Master,MAXIMUM,17,COMPLETE,AAA,9781407,0,10,10,0,0
Dystopia,MAXIMUM,15,COMPLETE,AAA,9792302,0,1,1,0,0
NEWBORN CRYING,MAXIMUM,16,COMPLETE,AA+,9661366,0,1,1,0,0
物凄いスペースシャトルでこいしが物凄いうた,MAXIMUM,17.5,COMPLETE,AA,9446532,0,1,1,0,0
Blue Fire,EXHAUST,12,COMPLETE,A+,9130737,0,1,1,0,0
Blue Fire,MAXIMUM,16,COMPLETE,AAA,9734972,0,3,3,0,0
Voltage Higher,EXHAUST,14,COMPLETE,A,8701195,0,1,1,0,0
Junk Mania,MAXIMUM,17.5,COMPLETE,AA+,9664339,0,4,4,0,0
雪月花 (Shiron & Sound Artz Remix),MAXIMUM,16,COMPLETE,AA+,9566596,0,2,2,0,0
Narcissus At Oasis (Freezer Remix),MAXIMUM,16,COMPLETE,AA+,9545169,0,2,2,0,0
Inscape,MAXIMUM,17,COMPLETE,AA+,9524064,0,1,1,0,0
VAMPIRE,MAXIMUM,16,COMPLETE,AA+,9654471,0,1,1,0,0
Smoked Turkey Rag,MAXIMUM,17,COMPLETE,AA+,9633943,0,4,4,0,0
sink into the dream,EXHAUST,14,COMPLETE,AA,9360865,0,2,2,0,0
sink into the dream,MAXIMUM,17.5,COMPLETE,AA,9457547,0,1,1,0,0
POLICY BREAK Medley from SOUND VOLTEX×jubeat,EXHAUST,16,COMPLETE,A+,9044213,0,1,1,0,0
マトリョシカ,EXHAUST,12,COMPLETE,AA,9348302,0,1,1,0,0
ナナイロライト,MAXIMUM,15,COMPLETE,AA+,9548563,0,1,1,0,0
iLLness LiLin,ADVANCED,15,COMPLETE,AAA,9723735,0,1,1,0,0
iLLness LiLin,EXHAUST,17.5,COMPLETE,A+,9039057,0,1,1,0,0
ΩVERSOUL,EXHAUST,16,COMPLETE,AA+,9574059,0,2,2,0,0
Sailing Force,EXHAUST,17.5,COMPLETE,A+,9232658,0,1,1,0,0
Rebellio,EXHAUST,17.5,COMPLETE,AA,9346622,0,3,3,0,0
Carry Me Away,MAXIMUM,17.5,COMPLETE,AA,9381827,0,1,1,0,0
SO FLY ME TO YOU,MAXIMUM,15,COMPLETE,AA+,9576791,0,1,1,0,0
Narcissus At Oasis -影虎。 style-,MAXIMUM,16,COMPLETE,AA+,9576944,0,2,2,0,0
Boss Rush,ADVANCED,12,PLAYED,D,5451552,0,1,0,0,0
If,MAXIMUM,17.5,COMPLETE,AA+,9588535,0,11,11,0,0
Fin.ArcDeaR,EXHAUST,18.0,COMPLETE,A+,9295026,0,2,2,0,0
Make Magic,EXHAUST,16,COMPLETE,AA+,9660297,0,1,1,0,0
盗宝,MAXIMUM,16,COMPLETE,AAA,9753213,0,1,1,0,0
刃の如く ft. ネコメアリ,MAXIMUM,15,COMPLETE,AAA,9799592,0,1,1,0,0
fancy cake!!,MAXIMUM,16,COMPLETE,AAA,9786585,0,2,2,0,0
キュリオシティ,EXHAUST,15,COMPLETE,AA+,9643271,0,2,1,0,0
Alice Maestera feat. nomico,MAXIMUM,14,COMPLETE,AAA+,9811621,0,1,1,0,0
インビジブル,ADVANCED,11,COMPLETE,B,8621730,0,1,1,0,0
インビジブル,EXHAUST,14,COMPLETE,A+,9000000,0,1,1,0,0
インビジブル,MAXIMUM,17,COMPLETE,AA+,9615797,0,1,1,0,0
インフルエンサー・イズ・デッド,ADVANCED,10,COMPLETE,AA+,9693251,0,1,1,0,0
インフルエンサー・イズ・デッド,EXHAUST,13,COMPLETE,AA+,9510433,0,3,2,0,0
インフルエンサー・イズ・デッド,MAXIMUM,16,COMPLETE,AA+,9582301,0,2,2,0,0
裏表ラバーズ,ADVANCED,8,COMPLETE,AAA,9717314,0,1,1,0,0
裏表ラバーズ,EXHAUST,12,COMPLETE,AA,9444958,0,2,2,0,0
裏表ラバーズ,MAXIMUM,17,COMPLETE,AA+,9541691,0,5,4,0,0
朧 (kamome sano remix),ADVANCED,10,COMPLETE,AA,9497011,0,2,2,0,0
朧 (kamome sano remix),EXHAUST,14,COMPLETE,AAA+,9816041,0,2,2,0,0
朧 (kamome sano remix),MAXIMUM,15,COMPLETE,AAA+,9846105,0,21,21,0,0
Candy Star,MAXIMUM,16,COMPLETE,AA+,9565695,0,2,2,0,0
きゅん×きゅんばっきゅん☆LOVE,MAXIMUM,15,COMPLETE,AAA+,9802825,0,1,1,0,0
JULIAN,MAXIMUM,17,COMPLETE,AA,9473186,0,1,1,0,0
starmine (nora2r Remix),MAXIMUM,16,COMPLETE,AA+,9661270,0,2,2,0,0
Second Heaven GravityPfArrange,MAXIMUM,16,COMPLETE,AA+,9573883,0,1,1,0,0
千本桜,MAXIMUM,15,COMPLETE,AA+,9619134,0,2,2,0,0
Dharma,EXHAUST,15,COMPLETE,AAA+,9873983,0,18,15,0,0
Dharma,MAXIMUM,17.5,COMPLETE,AAA,9745454,0,16,16,0,0
Chocolate Planet,ADVANCED,11,COMPLETE,AAA,9798890,0,1,1,0,0
Chocolate Planet,MAXIMUM,17.5,COMPLETE,A+,9223809,0,3,1,0,0
TRICKL4SH 220,EXHAUST,16,COMPLETE,AA+,9607023,0,3,2,0,0
New Game feat.Mayumi Morinaga,MAXIMUM,15,COMPLETE,AAA,9755849,0,1,1,0,0
HiGHER,MAXIMUM,16,COMPLETE,AAA,9747301,0,1,1,0,0
Four Leaves,MAXIMUM,17,COMPLETE,AAA,9706752,0,1,1,0,0
Heavenly Adventure,MAXIMUM,17.5,COMPLETE,AA,9379844,0,2,2,0,0
bass 2 bass [Tracy vs. Astronomical Remix],MAXIMUM,16,COMPLETE,AAA,9727385,0,11,11,0,0
Quaint Echo,EXHAUST,18.8,COMPLETE,AA,9397410,0,2,1,0,0
Zero-Day Exploit,EXHAUST,17.5,COMPLETE,AA+,9502463,0,1,1,0,0
東方妖々夢 ULTIMATE MEDLEY,EXHAUST,18.2,PLAYED,A,8767619,0,1,0,0,0
Phantom dinning tonight!,EXHAUST,16,COMPLETE,AA+,9620300,0,1,1,0,0
IKAROS DYNAMITE!!!!,NOVICE,6,COMPLETE,AA+,9534518,0,1,1,0,0
IKAROS DYNAMITE!!!!,EXHAUST,18.3,COMPLETE,AA,9390396,0,3,1,0,0
Emperor's Divide,EXHAUST,17.5,COMPLETE,AA,9490616,0,3,1,0,0
cross the future,EXHAUST,17,COMPLETE,AA+,9547314,0,3,2,0,0
GEOMETRIA,EXHAUST,18.6,COMPLETE,A,8915036,0,2,1,0,0
↓↓↓,EXHAUST,18.2,PLAYED,A+,9060125,0,1,0,0,0
You Know-SDVX EDIT-,EXHAUST,16,COMPLETE,AAA,9726351,0,4,4,0,0
ANTI THE∞HOLiC,EXHAUST,17,COMPLETE,AA,9419619,0,2,1,0,0
０=Xerostrumental=,EXHAUST,17.5,COMPLETE,A+,9256601,0,1,1,0,0
Halcyon,NOVICE,6,COMPLETE,AA,9380825,0,1,1,0,0
Halcyon,EXHAUST,17.5,COMPLETE,AA+,9512419,0,6,5,0,0
FLügeL《Λrp:ΣggyØ》,EXHAUST,18.6,COMPLETE,A+,9298013,0,1,1,0,0
ZEPHYRANTHES,GRAVITY,17,COMPLETE,AA+,9614832,0,1,1,0,0
Triple Counter,EXHAUST,17,COMPLETE,AA,9402313,0,1,1,0,0
NEO TREASON,EXHAUST,16,COMPLETE,AA+,9622270,0,2,2,0,0
eastward -sdvx edit-,EXHAUST,16,COMPLETE,AAA,9725031,0,2,2,0,0
Voynich:Manuscript,EXHAUST,17.5,COMPLETE,AA,9420103,0,2,1,0,0
B.B.K.K.B.K.K.,EXHAUST,17,COMPLETE,AA+,9597332,0,12,11,0,0
akasha-assembly,EXHAUST,17,COMPLETE,AA,9452619,0,1,1,0,0
Paradission,ADVANCED,12,COMPLETE,AA,9408181,0,1,1,0,0
Paradission,EXHAUST,17.5,COMPLETE,AA,9315304,0,7,7,0,0
Laughin' Muffin,EXHAUST,16,COMPLETE,AA+,9522712,0,1,1,0,0
Lo-Fi-M,EXHAUST,16,COMPLETE,AA+,9595166,0,11,8,0,0
ゲキツイムラサ,EXHAUST,17.5,COMPLETE,A+,9251295,0,2,1,0,0
Solitude & Nightmare,EXHAUST,16,COMPLETE,AA+,9514679,0,1,1,0,0
Discover the Life,EXHAUST,16,COMPLETE,AA+,9641736,0,1,1,0,0
ancient garden,EXHAUST,16,COMPLETE,AA+,9685039,0,1,1,0,0
Get back here,EXHAUST,16,COMPLETE,AAA+,9821314,0,1,1,0,0
Time to Air -Fly High Remix-,ADVANCED,12,COMPLETE,AA,9450980,0,1,1,0,0
Time to Air -Fly High Remix-,EXHAUST,17.5,COMPLETE,AA,9400592,0,1,1,0,0
Deadly Dolly Dance,EXHAUST,17.5,COMPLETE,A+,9286195,0,6,2,0,0
花ノ下連歌,ADVANCED,11,PLAYED,B,8588932,0,1,0,0,0
花ノ下連歌,EXHAUST,16,COMPLETE,AA,9424498,0,1,1,0,0
NECRO PARTY,EXHAUST,16,COMPLETE,AA+,9699269,0,2,2,0,0
雪月花 -さわわRemix-,EXHAUST,17.5,COMPLETE,A+,9263183,0,2,1,0,0
Apex of the World,EXHAUST,17,COMPLETE,AA+,9616822,0,5,5,0,0
Endless GRAVITY,EXHAUST,18.6,COMPLETE,A+,9019963,0,2,1,0,0
GRISAILLE,EXHAUST,16,COMPLETE,AA+,9672131,0,1,1,0,0
侍Annihilate!!,EXHAUST,18.3,COMPLETE,AA,9401893,0,1,1,0,0
CENSORED!!,EXHAUST,17.5,COMPLETE,AA+,9532178,0,2,2,0,0
Destroy,EXHAUST,16,COMPLETE,AAA,9777843,0,2,2,0,0
Destroy,GRAVITY,17.5,COMPLETE,AA,9376476,0,10,2,0,0
断罪は遍く人間の元に,EXHAUST,17,COMPLETE,AA,9315846,0,1,1,0,0
アキネイション,EXHAUST,17.5,COMPLETE,A+,9289909,0,2,1,0,0
Dualive,EXHAUST,17.5,COMPLETE,AA,9439421,0,2,2,0,0
カタルシスの月,EXHAUST,16,COMPLETE,AAA+,9854831,0,1,1,0,0
黒髪乱れし修羅となりて～凛 edition～,EXHAUST,17.5,COMPLETE,AA,9476141,0,1,1,0,0
Question.,EXHAUST,16,COMPLETE,AAA,9763406,0,6,6,0,0
Parousia,ADVANCED,11,COMPLETE,A+,9138591,0,1,1,0,0
Parousia,EXHAUST,17.5,COMPLETE,AA+,9574374,0,21,18,0,0
archive::zip,NOVICE,4,COMPLETE,AAA+,9851632,0,1,1,0,0
archive::zip,GRAVITY,16,COMPLETE,AAA+,9826558,0,2,2,0,0
Virtual Bit,EXHAUST,17.5,COMPLETE,A+,9226190,0,3,1,0,0
ERROR CODE,GRAVITY,16,COMPLETE,AA+,9694293,0,1,1,0,0
XROSS THE XOUL,EXHAUST,16,COMPLETE,AAA,9723439,0,1,1,0,0
S1CK_F41RY,EXHAUST,17.5,COMPLETE,A+,9262170,0,1,1,0,0
Phantom Ensemble (ゆんゆん Remix),EXHAUST,13,COMPLETE,A,8811410,0,1,1,0,0
Renegade Fruits,EXHAUST,16,COMPLETE,AA+,9574468,0,1,1,0,0
She is my wife,EXHAUST,16,COMPLETE,AA+,9630156,0,17,17,0,0
お嫁にしなさいっ！,EXHAUST,15,COMPLETE,AA+,9560570,0,1,1,0,0
Never Fails,EXHAUST,17.5,COMPLETE,AA+,9684591,0,24,19,0,0
Fox4-Raize-,EXHAUST,18.5,COMPLETE,AA+,9574417,0,9,6,0,0
Follow Up,EXHAUST,17.5,COMPLETE,AA,9387044,0,5,2,0,0
REVOLVER,EXHAUST,18.5,PLAYED,A,8890705,0,1,0,0,0
しゅわスパ大作戦☆ (カシオれ！くーにゃんリミックス),EXHAUST,16,COMPLETE,AAA,9707088,0,1,1,0,0
チルノとまりおのパーフェクトさんすう教室,EXHAUST,17.5,COMPLETE,AA,9459057,0,8,2,0,0
Ultimate Fury,EXHAUST,16,COMPLETE,AAA,9702038,0,1,1,0,0
JEHANNEDARC,EXHAUST,18.1,COMPLETE,A+,9190582,0,1,1,0,0
spectroscape,EXHAUST,16,COMPLETE,AA+,9590577,0,3,3,0,0
常夏！！クリスタライズ・シャーベット,EXHAUST,17.5,COMPLETE,AA+,9669421,0,2,1,0,0
雲の彼方,EXHAUST,17.5,COMPLETE,AA,9384753,0,2,1,0,0
NEO GRAVITY,EXHAUST,18.3,COMPLETE,AA+,9610808,0,16,15,0,0
NEO GRAVITY,EXCEED,18.7,PLAYED,A+,9157827,0,9,0,0,0
VOLTEXES,EXHAUST,15,COMPLETE,AA,9419604,0,2,1,0,0
VOLTEXES III,EXHAUST,16,COMPLETE,A+,9227582,0,2,2,0,0
conflict,EXHAUST,17.5,COMPLETE,AA+,9500668,0,3,2,0,0
Nofram,EXHAUST,17.5,PLAYED,A,8765151,0,2,0,0,0
Asian Chip City,EXHAUST,16,COMPLETE,AA+,9594185,0,6,6,0,0
Oriental Blossom,EXHAUST,16,COMPLETE,AAA+,9800399,0,4,4,0,0
CUTIE☆EX-DREAM,EXHAUST,17.5,COMPLETE,AAA,9704510,0,16,14,0,0
君がいる場所へ,EXHAUST,13,PLAYED,A,8716058,0,1,0,0,0
The setting sun,EXHAUST,17,COMPLETE,AA,9308855,0,2,2,0,0
ハッピーシンセサイザ,ADVANCED,7,COMPLETE,AAA+,9850597,0,2,2,0,0
ハッピーシンセサイザ,EXHAUST,13,COMPLETE,A+,9145927,0,1,1,0,0
Backflow,EXHAUST,17.5,COMPLETE,AA+,9578979,0,4,2,0,0
Beyond the Sandstorm,EXHAUST,16,COMPLETE,AAA,9707623,0,1,1,0,0
Pet Peeve,EXHAUST,17.5,COMPLETE,A+,9177740,0,5,1,0,0
Mayohiga Spurt,EXHAUST,17.5,COMPLETE,AA,9391762,0,1,1,0,0
みくみくにしてあげる♪【してやんよ】,NOVICE,4,ULTIMATE CHAIN,S,9912451,0,1,1,1,0
みくみくにしてあげる♪【してやんよ】,EXHAUST,15,COMPLETE,AA,9381188,0,1,1,0,0
メランコリック,ADVANCED,7,COMPLETE,A+,9192825,0,1,1,0,0
メランコリック,EXHAUST,13,COMPLETE,AAA+,9855371,0,1,1,0,0
Blacksphere,EXHAUST,16,COMPLETE,AA,9431540,0,3,3,0,0
じゅーじゅー♥焼肉の火からフェニックス！？～再誕の†炭火焼き～,EXHAUST,17.5,COMPLETE,AA+,9557855,0,9,6,0,0
ドーパミン,EXHAUST,18.6,PLAYED,A,8905351,0,1,0,0,0
crêpe suzette,EXHAUST,16,COMPLETE,AAA+,9858138,0,1,1,0,0
Shiawase Transmission,EXHAUST,16,COMPLETE,AA,9377460,0,1,1,0,0
Lucky*Clover,EXHAUST,17,COMPLETE,AA,9375629,0,1,1,0,0
FLOWER,EXHAUST,18.2,COMPLETE,AA,9401476,0,2,1,0,0
ホーンテッド★メイドランチ,EXHAUST,17.5,COMPLETE,AA,9349892,0,1,1,0,0
紅の剣舞,EXHAUST,17.5,COMPLETE,A+,9203499,0,1,1,0,0
Sourire,EXHAUST,16,COMPLETE,AA+,9602272,0,1,1,0,0
ECHO,NOVICE,4,COMPLETE,A,8846938,0,1,1,0,0
ECHO,ADVANCED,8,COMPLETE,B,8453781,0,1,1,0,0
ECHO,EXHAUST,13,COMPLETE,A+,9274193,0,2,2,0,0
eternita,EXHAUST,16,COMPLETE,AA+,9528907,0,1,1,0,0
初音ミクの消失,NOVICE,6,COMPLETE,AA+,9653614,0,1,1,0,0
初音ミクの暴走,EXHAUST,17.5,COMPLETE,AA,9458004,0,1,1,0,0
夏色DIARY -Summer Dazzlin' Vacation miX-,EXHAUST,17.5,COMPLETE,AA,9415862,0,2,2,0,0
夏色DIARY -Summer Dazzlin' Vacation miX-,GRAVITY,16,COMPLETE,AAA,9710467,0,1,1,0,0
ΑΩ,EXHAUST,18.3,COMPLETE,AA,9340801,0,2,1,0,0
XyHATTE,EXHAUST,18.4,COMPLETE,A+,9238979,0,4,1,0,0
citrus,EXHAUST,15,COMPLETE,A+,9245283,0,1,1,0,0
Ops:Code-Rapture-,ADVANCED,14,PLAYED,A+,9080502,0,1,0,0,0
Ops:Code-Rapture-,EXHAUST,18.4,COMPLETE,AA+,9632122,0,16,11,0,0
Cold Inflation,EXHAUST,16,COMPLETE,AA+,9595870,0,5,5,0,0
ΕΛΠΙΣ,EXHAUST,17.5,COMPLETE,AA,9314271,0,1,1,0,0
灼熱Beach Side Bunny,EXHAUST,18.6,COMPLETE,AA,9455645,0,16,8,0,0
Opium and Purple haze,EXHAUST,17.5,COMPLETE,A+,9249827,0,1,1,0,0
ネメシス SDVX Edit,EXHAUST,17.5,PLAYED,B,8680278,0,2,0,0,0
Innocent Floor,EXHAUST,17.5,COMPLETE,AA,9455112,0,2,2,0,0
disco KAWAii,EXHAUST,14,COMPLETE,AA+,9688679,0,2,1,0,0
gigadelic (かめりあ's "The TERA" RMX),EXHAUST,18.6,COMPLETE,A+,9186691,0,2,2,0,0
無双,EXHAUST,17,COMPLETE,AA,9494266,0,1,1,0,0
One & Only,EXHAUST,16,COMPLETE,AA+,9665341,0,1,1,0,0
EBONY & IVORY,EXHAUST,17.5,COMPLETE,AA+,9607093,0,17,16,0,0
Happy Sensation,ADVANCED,11,PLAYED,AAA+,9886535,0,1,0,0,0
Happy Sensation,EXHAUST,17,COMPLETE,AAA,9742362,0,5,5,0,0
Milkyway - memorable -,EXHAUST,16,COMPLETE,AA,9493355,0,1,1,0,0
Our Faith (takdrive remix),EXHAUST,16,COMPLETE,AA+,9659763,0,6,6,0,0
Discloze,NOVICE,5,COMPLETE,AAA,9733178,0,1,1,0,0
Discloze,EXHAUST,17,COMPLETE,A+,9222065,0,5,1,0,0
竹取飛翔 ～ Lunatic Princess (Ryu☆Remix),ADVANCED,10,COMPLETE,S,9942528,0,2,2,0,0
竹取飛翔 ～ Lunatic Princess (Ryu☆Remix),EXHAUST,16,COMPLETE,AAA,9725590,0,1,1,0,0
Scarlet Moon,ADVANCED,10,COMPLETE,AA,9419978,0,1,1,0,0
Scarlet Moon,EXHAUST,16,COMPLETE,AAA+,9828660,0,8,8,0,0
NEON WORLD,EXHAUST,17.5,PLAYED,A+,9232192,0,6,0,0,0
BEAT-NEW-WORLD,EXHAUST,17.5,COMPLETE,AA,9341262,0,1,1,0,0
AYAKASHI,EXHAUST,17,COMPLETE,AA+,9543452,0,8,1,0,0
女言葉の消失,EXHAUST,13,COMPLETE,A+,9029163,0,1,1,0,0
M.A.Y.U.,EXHAUST,16,COMPLETE,AAA+,9802712,0,3,3,0,0
Just Be Friends,ADVANCED,7,COMPLETE,AA+,9674657,0,3,3,0,0
Just Be Friends,EXHAUST,12,COMPLETE,AA,9401746,0,3,2,0,0
Scream out! (SDVX EDIT),ADVANCED,12,COMPLETE,A+,9043062,0,1,1,0,0
tricky trick,EXHAUST,18.2,COMPLETE,A+,9214731,0,7,1,0,0
FIRE FIREは電気スウィングの夢を見るか？,ADVANCED,10,COMPLETE,B,8499413,0,1,1,0,0
FIRE FIREは電気スウィングの夢を見るか？,EXHAUST,16,COMPLETE,AA,9493585,0,3,3,0,0
Borealis,EXHAUST,17,COMPLETE,AA,9379689,0,2,1,0,0
無気力クーデター,NOVICE,5,COMPLETE,A,8722689,0,1,1,0,0
Wuv U (Colorful QT3 nekomix),EXHAUST,16,COMPLETE,AAA+,9812072,0,2,1,0,0
2 MINUTES FIGHTERS,NOVICE,6,COMPLETE,AA+,9686666,0,1,1,0,0
2 MINUTES FIGHTERS,EXHAUST,17.5,COMPLETE,AA,9337700,0,2,1,0,0
CRITICAL LINE,ADVANCED,12,PLAYED,AA,9436795,0,1,0,0,0
鬼天,EXHAUST,17.5,COMPLETE,AA,9423393,0,2,2,0,0
INDEPENDENT SKY,GRAVITY,17,COMPLETE,AA+,9542998,0,1,1,0,0
ツーマンライブ,GRAVITY,16,COMPLETE,AA,9409722,0,1,1,0,0
The Sampling Paradise (P*Light Remix),EXHAUST,17.5,COMPLETE,AA,9345878,0,4,4,0,0
鬼KYOKAN,EXHAUST,16,COMPLETE,AA+,9553518,0,1,1,0,0
幸せになれる隠しコマンドがあるらしい,NOVICE,6,COMPLETE,S,9904831,0,1,1,0,0
幸せになれる隠しコマンドがあるらしい,ADVANCED,12,COMPLETE,AAA+,9897698,0,9,9,0,0
幸せになれる隠しコマンドがあるらしい,EXHAUST,16,COMPLETE,AAA,9783755,0,17,12,0,0
False Cross,EXHAUST,17.5,COMPLETE,AA,9471904,0,11,9,0,0
きらきらタイム☆,EXHAUST,17,COMPLETE,AAA,9733935,0,18,16,0,0
Twin Rocket,EXHAUST,17,COMPLETE,AA,9467325,0,2,1,0,0
THUNDERCRACK,EXHAUST,17.5,COMPLETE,A+,9220231,0,1,1,0,0
ポメグラネイト,EXHAUST,16,COMPLETE,AA+,9623584,0,2,1,0,0
イグジスタンス,EXHAUST,17.5,COMPLETE,AA,9347284,0,1,1,0,0
F.K.S.,EXHAUST,17.5,COMPLETE,AA,9408052,0,4,3,0,0
鎖の少女,ADVANCED,10,COMPLETE,A+,9248991,0,1,1,0,0
Violet Soul,EXHAUST,16,COMPLETE,AAA,9732558,0,3,3,0,0
FIRE FIRE(Kazmasa Remix),EXHAUST,17.5,COMPLETE,AA+,9592391,0,3,3,0,0
星屑ユートピア,ADVANCED,7,COMPLETE,AA,9435075,0,1,1,0,0
ぼくらしかしらない,EXHAUST,17.5,COMPLETE,AA+,9548260,0,7,7,0,0
物凄い狂っとるフランちゃんが物凄いうた,EXHAUST,17.5,COMPLETE,AA,9490586,0,2,2,0,0
Rubeus,EXHAUST,17,COMPLETE,A+,9288828,0,1,1,0,0
Our Faith (Faithful MTL Remix),EXHAUST,17.5,COMPLETE,AA,9324206,0,2,1,0,0
The Sampling Paradise (N-Driver Style),ADVANCED,12,COMPLETE,AA+,9687258,0,1,1,0,0
werewolf howls.,NOVICE,6,COMPLETE,AA,9388379,0,1,1,0,0
werewolf howls.,EXHAUST,18.5,COMPLETE,A+,9266636,0,2,1,0,0
Little princess has no identity.,EXHAUST,17.5,COMPLETE,AA+,9535642,0,4,3,0,0
Scene,EXHAUST,13,COMPLETE,AA+,9538852,0,2,1,0,0
ハウトゥー世界征服,ADVANCED,9,COMPLETE,A+,9092769,0,2,2,0,0
ハウトゥー世界征服,EXHAUST,14,COMPLETE,AA,9350348,0,2,2,0,0
打打打打打打打打打打,ADVANCED,11,COMPLETE,A,8765227,0,1,1,0,0
打打打打打打打打打打,EXHAUST,15,COMPLETE,AAA,9729344,0,9,9,0,0
打打打打打打打打打打,INFINITE,17.5,COMPLETE,AA,9383783,0,5,3,0,0
CODE -CRiMSON-,EXHAUST,17.5,COMPLETE,AA,9430580,0,2,2,0,0
朱と碧のランページ(NU-KO),EXHAUST,17,COMPLETE,AAA,9710764,0,27,26,0,0
FIRE FIRE -DARK BLAZE REMIX-,EXHAUST,17.5,COMPLETE,AA+,9569278,0,19,15,0,0
Monkey Business (lapix Remix),EXHAUST,16,COMPLETE,AAA+,9813084,0,4,4,0,0
KHAMEN BREAK,INFINITE,16,COMPLETE,AA+,9501803,0,1,1,0,0
悪性ロリィタマキャヴェリズム,EXHAUST,17.5,COMPLETE,AA,9409034,0,1,1,0,0
柳の下のデュラハン hard chaos mix,EXHAUST,17.5,COMPLETE,AA+,9592264,0,2,1,0,0
#FairyJoke #SDVX_Edit,EXHAUST,17,COMPLETE,AA,9334070,0,1,1,0,0
Sakura Mirage,EXHAUST,17.5,PLAYED,C,7059530,0,1,0,0,0
KiLLeR MeRMaiD,EXHAUST,17.5,COMPLETE,AA,9440395,0,1,1,0,0
Frantic Wolf,ADVANCED,10,PLAYED,AAA,9765297,0,1,0,0,0
Mist In Hell,EXHAUST,17,COMPLETE,AA+,9621718,0,1,1,0,0
Innocent Tempest,EXHAUST,17.5,COMPLETE,AA,9364334,0,4,1,0,0
ボルテ体操第一,EXHAUST,17,COMPLETE,AA,9439461,0,6,3,0,0
Virtual Sunrise,ADVANCED,10,COMPLETE,AA,9445454,0,1,1,0,0
Virtual Sunrise,EXHAUST,15,COMPLETE,AAA+,9842710,0,9,9,0,0
Hoshizora Illumination,EXHAUST,16,COMPLETE,AA,9493243,0,1,1,0,0
crazy cinema story,EXHAUST,16,COMPLETE,AA,9371176,0,4,1,0,0
Fiat Lux,EXHAUST,17.5,COMPLETE,AA+,9515651,0,2,1,0,0
命のユースティティア,ADVANCED,10,COMPLETE,AA,9300000,0,1,1,0,0
IX,EXHAUST,17.5,COMPLETE,AA,9373177,0,3,1,0,0
Future MUSiC,EXHAUST,12,COMPLETE,AAA,9790482,0,1,1,0,0
Engraved Mark,EXHAUST,16,COMPLETE,AA+,9584165,0,4,4,0,0
轟け！恋のビーンボール！！,EXHAUST,17,COMPLETE,AA,9389972,0,1,1,0,0
野球の遊び方　そしてその歴史　～決定版～,EXHAUST,13,COMPLETE,A+,9092198,0,1,1,0,0
イゴモヨス＝オムルのテーマによるブヨブヨ・スケッチの試み,EXHAUST,17,COMPLETE,AA,9372654,0,1,1,0,0
Profession,EXHAUST,16,COMPLETE,AAA,9703832,0,4,4,0,0
雪女,GRAVITY,17.5,COMPLETE,AA,9448801,0,2,1,0,0
Hellfire,EXHAUST,17.5,COMPLETE,AA,9433139,0,2,2,0,0
PUNISHER,EXHAUST,16,COMPLETE,AA+,9658119,0,3,3,0,0
Last Battalion,EXHAUST,15,PLAYED,AA,9358747,0,3,0,0,0
タイムマシン,ADVANCED,8,COMPLETE,AAA,9740112,0,2,2,0,0
タイムマシン,EXHAUST,13,COMPLETE,AA,9463434,0,2,2,0,0
True Blue,EXHAUST,17.5,COMPLETE,AA,9410052,0,1,1,0,0
Electric "Sister" Bitch,EXHAUST,16,COMPLETE,AA+,9644056,0,1,1,0,0
Paradoxy,EXHAUST,15,COMPLETE,A+,9269703,0,2,2,0,0
LEMON SUMMER,EXHAUST,15,COMPLETE,AA+,9640939,0,8,8,0,0
赤より紅い夢-Aya2g Tech Dance Remix-,EXHAUST,16,COMPLETE,AA+,9608177,0,2,2,0,0
最終鬼畜妹フランドール・S,EXHAUST,16,COMPLETE,AA+,9682835,0,1,1,0,0
Crack Traxxxx,EXHAUST,16,COMPLETE,AAA,9744671,0,2,1,0,0
XROSS INFECTION,EXHAUST,17.5,COMPLETE,AA,9466920,0,3,1,0,0
Double Universe,EXHAUST,16,COMPLETE,AAA,9706211,0,2,2,0,0
DEADLOCK XXX,ADVANCED,11,COMPLETE,AA,9332281,0,1,1,0,0
ありふれたせかいせいふく,EXHAUST,13,COMPLETE,AA,9418931,0,1,1,0,0
Playing With Fire,EXHAUST,16,COMPLETE,AA,9452936,0,3,3,0,0
